date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:01:33	585/585	---M--	200	added ('OK')	image/png	etag:%22249-56f8c70f8a040%22	http://www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/images/espanol.png	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/images/espanol.png	(from http://www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/css/fimcp.css?r6fkpi)
22:01:34	783/783	---M--	200	added ('OK')	image/png	etag:%2230f-56f8c787b3bc0%22	http://www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/images/espanolrollover.png	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/images/espanolrollover.png	(from http://www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/css/fimcp.css?r6fkpi)
22:01:34	788/788	---M--	200	added ('OK')	image/png	etag:%22314-56f8c70047c40%22	http://www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/images/ingles.png	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/images/ingles.png	(from http://www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/css/fimcp.css?r6fkpi)
22:01:34	762/762	---M--	200	added ('OK')	image/png	etag:%222fa-56f8c781fae40%22	http://www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/images/ingles-rollover.png	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/images/ingles-rollover.png	(from http://www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/css/fimcp.css?r6fkpi)
22:01:35	15364/15364	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Feb%202022%2002:54:53%20GMT	http://www.fimcp.espol.edu.ec/es/Pregrado/c	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/es/Pregrado/c	(from https://connect.facebook.net/en_US/fbevents.js)
22:01:36	15364/15364	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Feb%202022%2002:54:54%20GMT	http://www.fimcp.espol.edu.ec/es/Pregrado/b	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/es/Pregrado/b	(from https://connect.facebook.net/en_US/fbevents.js)
22:01:37	15376/15376	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Feb%202022%2002:54:55%20GMT	http://www.fimcp.espol.edu.ec/es/Pregrado/POST	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/es/Pregrado/POST	(from https://connect.facebook.net/en_US/fbevents.js)
22:01:38	94060/94060	---M--	200	added ('OK')	image/jpeg	etag:%2216f6c-5a06dcdb5ba44%22	http://www.fimcp.espol.edu.ec/sites/fimcp.espol.edu.ec/files/imagenes_banner/Mecatr%c3%b3nica-New.jpg	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/fimcp.espol.edu.ec/files/imagenes_banner/Mecatr%c3%b3nica-New.jpg	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:45	168353/168353	---M--	200	added ('OK')	image/png	etag:%22291a1-5b1ceb9faead4%22	http://www.fimcp.espol.edu.ec/sites/fimcp.espol.edu.ec/files/Postgrados_gif.png	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/fimcp.espol.edu.ec/files/Postgrados_gif.png	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:49	205016/205016	---M--	200	added ('OK')	application/font-sfnt	etag:%22320d8-5289b4a87a9c0%22	http://www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/css/CORBEL.TTF	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/css/CORBEL.TTF	(from http://www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/css/fimcp.css?r6fkpi)
